record_id,plant_type,habitat,season,air_humidity_pct,soil_humidity_pct,ethylene_ppm,co2_ppm,o2_ppm,ldr_on_plant,leaf_color_index,temperature_c,health_score,health_class
php_00001,rose,garden,winter,86.3,55.9,1.145,725.9,19.62,559,42.5,34.1,60,moderate_stress
php_00002,pothos,indoor,spring,55.3,29.8,1.102,1202.2,19.11,58,51.6,37.5,52,high_stress
php_00003,lettuce,greenhouse,autumn,92.6,10.3,1.042,1003.2,18.31,682,74.4,8.7,35,high_stress
php_00004,pothos,shade_house,autumn,62,40.3,0.7,566.3,20.43,460,57.7,29.8,92,healthy
php_00005,mint,indoor,spring,70.9,64.6,0.603,381.8,18.85,964,26.2,31.1,52,high_stress
php_00006,basil,greenhouse,monsoon,62.2,33.6,2.195,1176.9,18.54,745,95.5,35.8,41,high_stress
php_00007,basil,indoor,autumn,73.6,43.4,1.354,496.3,19.87,705,74.6,8.7,62,moderate_stress
php_00008,pothos,indoor,spring,90.9,61,1.016,1189.9,21.38,798,21.9,15.9,37,high_stress
php_00009,rose,garden,summer,93.7,32,1.809,627.4,19.82,451,97.8,33.2,55,moderate_stress
php_00010,mint,garden,monsoon,79.9,41.9,0.154,532.1,19.55,453,78,35,72,moderate_stress
php_00011,mint,greenhouse,winter,81.9,58.5,1.474,1192.9,21.41,347,31.5,14.1,58,moderate_stress
php_00012,snake_plant,indoor,autumn,65.9,32.4,1.743,1085.9,21.29,483,86.7,13.1,76,moderate_stress
php_00013,mint,greenhouse,winter,35.6,88.5,1.246,1086.6,19.74,288,29.3,10.1,43,high_stress
php_00014,aloe_vera,indoor,autumn,59,68.9,0.04,722.1,18.49,426,56.1,24.4,60,moderate_stress
php_00015,snake_plant,shade_house,spring,93.9,86.4,0.23,825,20.24,885,28,31.6,21,high_stress
php_00016,lettuce,hydroponic,spring,52.3,78.3,0.816,499.6,18.75,201,26.8,36.5,27,high_stress
php_00017,aloe_vera,indoor,spring,83.8,61.3,1.454,460.4,20.66,261,78.1,31.1,54,high_stress
php_00018,basil,indoor,summer,36.2,18.8,2.152,1113.7,18.38,534,45.6,18.1,36,high_stress
php_00019,basil,garden,autumn,37.1,15.9,1.492,543.2,19.59,596,79.5,24,60,moderate_stress
php_00020,rose,greenhouse,monsoon,86.8,87.3,1.64,550.4,18.43,230,23,27.1,24,high_stress
php_00021,pothos,shade_house,autumn,90.2,43.2,1.497,609.7,18.54,591,41.5,8.4,34,high_stress
php_00022,aloe_vera,indoor,summer,43.3,9.2,2.494,1229.5,21.19,201,36.4,37.3,37,high_stress
php_00023,aloe_vera,arid_garden,autumn,44.2,80.9,2.137,719.3,21.05,643,69,13.9,38,high_stress
php_00024,aloe_vera,arid_garden,spring,87.5,35.3,1.061,874.4,20.2,366,37.7,14.9,69,moderate_stress
php_00025,tomato,garden,winter,32.2,59.5,2.436,517.7,18.69,888,72,10.4,44,high_stress
php_00026,rose,greenhouse,spring,85.6,37.2,0.745,1149.9,20.29,328,86.8,33.8,67,moderate_stress
php_00027,lettuce,greenhouse,autumn,87.2,35.4,0.025,428.6,20.21,55,82,36,49,high_stress
php_00028,pothos,indoor,spring,38.3,62.9,2.333,947,21.39,864,69.3,11.6,50,high_stress
php_00029,pothos,shade_house,autumn,60.1,62.9,0.295,372.3,18.23,82,52,34.4,62,moderate_stress
php_00030,basil,greenhouse,summer,51.7,57.2,0.728,995.7,19.17,257,99.4,23.1,75,moderate_stress
php_00031,basil,greenhouse,monsoon,93,50.1,1.961,612.4,18.79,626,21.8,31.1,36,high_stress
php_00032,snake_plant,shade_house,spring,37.3,59.6,0.588,485,19.02,383,87.8,24.7,73,moderate_stress
php_00033,mint,garden,winter,62.2,10.2,1.528,1048.9,18.31,334,89,20,40,high_stress
php_00034,aloe_vera,indoor,monsoon,36.6,57.1,0.875,410.6,20.53,683,75.2,37.5,72,moderate_stress
php_00035,mint,greenhouse,winter,60.5,51.2,1.667,800.5,20.38,900,24.1,8.5,50,high_stress
php_00036,snake_plant,indoor,spring,67.7,69.4,0.804,769.7,18.73,894,49.4,9.7,26,high_stress
php_00037,tomato,greenhouse,winter,56.2,21.5,0.992,832.5,19.74,1018,50.8,12.3,52,high_stress
php_00038,pothos,shade_house,summer,44.4,53.4,2.201,803.9,18.65,614,49.2,19,63,moderate_stress
php_00039,tomato,garden,monsoon,38.7,43.6,0.251,433.9,19.46,72,72.1,29.7,76,moderate_stress
php_00040,basil,indoor,summer,45.4,39.1,0.772,448.9,20.49,663,71.7,33.6,82,healthy
php_00041,mint,indoor,autumn,30.8,46.9,2.413,420.5,18.65,645,60.1,24.9,60,moderate_stress
php_00042,snake_plant,shade_house,summer,35.4,85.9,1.27,1152.6,21.43,290,25.4,13,22,high_stress
php_00043,tomato,greenhouse,winter,36.4,23.8,1.674,1107,20.17,917,91.8,11.1,40,high_stress
php_00044,rose,garden,monsoon,73.4,59.5,1.571,539.6,20.92,150,48.4,18.1,72,moderate_stress
php_00045,lettuce,greenhouse,winter,61.2,25.1,1.356,565.2,18.7,772,29.6,22.8,38,high_stress
php_00046,snake_plant,shade_house,autumn,42.9,49.1,0.662,1164.3,19.69,126,71.3,30.8,82,healthy
php_00047,tomato,garden,summer,69.2,56.4,0.721,530.5,18.8,778,46.7,37.4,62,moderate_stress
php_00048,lettuce,hydroponic,spring,75.4,32.1,0.528,1150.5,18.82,949,64.9,22.6,61,moderate_stress
php_00049,lettuce,greenhouse,autumn,80.9,42.9,0.691,636,20.1,971,77.3,26.1,76,moderate_stress
php_00050,basil,garden,spring,82.5,14.5,1.948,759.5,19.14,650,93.5,33.1,49,high_stress
php_00051,basil,indoor,spring,69.4,23.3,0.969,1213.4,19.25,452,32.7,14.5,42,high_stress
php_00052,tomato,garden,autumn,49.9,74.3,1.695,964.5,20.76,770,92.7,17.3,79,moderate_stress
php_00053,basil,garden,summer,67.3,83.4,1.067,862.3,18.63,762,61.2,32.4,55,moderate_stress
php_00054,snake_plant,indoor,monsoon,61.3,61.6,1.149,474,19.54,456,92.4,32.9,66,moderate_stress
php_00055,basil,indoor,summer,71.3,28.2,0.252,745.9,18.8,149,53.6,12.9,53,high_stress
php_00056,mint,greenhouse,winter,49,21.6,1.31,401.2,20.24,317,84.6,16.4,68,moderate_stress
php_00057,basil,indoor,summer,88.8,21.5,1.376,895.6,21.06,536,74.2,30.7,61,moderate_stress
php_00058,aloe_vera,arid_garden,summer,32.9,27.1,1.716,941.8,20.23,114,97,18.9,77,moderate_stress
php_00059,rose,garden,autumn,51.4,64,1.135,481.7,20.27,425,35.5,10.5,66,moderate_stress
php_00060,aloe_vera,arid_garden,monsoon,87.5,79.2,0.773,1099.2,19.75,255,69.9,31.2,46,high_stress
php_00061,basil,greenhouse,summer,76.6,28.3,1.722,1132.4,21.05,503,59.4,13.9,62,moderate_stress
php_00062,rose,garden,winter,37.2,73.3,2.488,537,19.19,118,20.3,28.3,25,high_stress
php_00063,pothos,indoor,winter,45.2,89.4,1.383,420.5,21.09,136,82.2,26.1,66,moderate_stress
php_00064,pothos,indoor,summer,52.6,78.5,2.109,799,19.87,153,89,23.2,64,moderate_stress
php_00065,pothos,shade_house,spring,78.8,74,1.393,356.5,21.2,629,65.2,22.1,62,moderate_stress
php_00066,pothos,shade_house,autumn,79.1,27.4,0.67,376.9,18.5,831,74.1,10.1,47,high_stress
php_00067,tomato,garden,summer,56.4,23.7,1.924,530.6,18.89,345,90.1,12.1,33,high_stress
php_00068,tomato,greenhouse,spring,27.4,46.1,0.942,1105.2,18.21,405,48.8,37.3,42,high_stress
php_00069,pothos,shade_house,summer,31.9,87.3,1.828,741.3,18.84,575,99.7,36,26,high_stress
php_00070,pothos,indoor,monsoon,38.3,32,2.295,1044.1,20.1,432,64.2,18.5,76,moderate_stress
php_00071,pothos,shade_house,summer,35.3,69.7,2.323,1151.5,20.34,289,83.1,17.9,65,moderate_stress
php_00072,lettuce,hydroponic,summer,61.9,34.6,1.958,529.1,18.27,186,57.5,34.8,29,high_stress
php_00073,basil,garden,monsoon,84.6,31.5,2.085,892.7,21.49,629,66.3,19.5,69,moderate_stress
php_00074,snake_plant,shade_house,summer,61.1,48.4,0.195,1149.1,21.41,813,44.9,15.3,65,moderate_stress
php_00075,rose,greenhouse,monsoon,64.5,52.7,1.248,636,20.32,294,67.7,23.1,81,healthy
php_00076,lettuce,greenhouse,autumn,82.8,35.4,1.879,411.1,18.56,366,39.6,26.8,37,high_stress
php_00077,aloe_vera,indoor,winter,92.6,64,1.81,851.3,19.41,648,98.5,23.5,43,high_stress
php_00078,pothos,shade_house,winter,56.2,15,1.973,493,20.91,565,94.6,33.7,53,high_stress
php_00079,lettuce,hydroponic,autumn,61.2,71.4,1.942,353.2,20.74,726,48.1,10.3,73,moderate_stress
php_00080,aloe_vera,indoor,summer,79.1,55.8,2.427,723.4,21.4,469,70.9,26.8,60,moderate_stress
php_00081,lettuce,greenhouse,monsoon,80.8,38.9,1.707,655.1,20.88,989,94.7,18.4,74,moderate_stress
php_00082,snake_plant,shade_house,spring,87.2,88.6,0.467,469.5,20.41,876,90.3,11.2,30,high_stress
php_00083,mint,indoor,autumn,31.3,82.5,0.186,490.5,19.51,928,40.8,8.6,55,moderate_stress
php_00084,aloe_vera,indoor,winter,80,31.7,0.798,472.2,18.75,600,73.6,34.4,73,moderate_stress
php_00085,basil,garden,autumn,82.9,75.9,1.505,741.8,18.21,464,53.6,27.5,57,moderate_stress
php_00086,mint,garden,spring,74.7,65,1.719,788.2,20.71,502,43.1,12.7,72,moderate_stress
php_00087,snake_plant,shade_house,spring,48.6,59.8,2.274,456.6,19.53,158,90.2,16.5,62,moderate_stress
php_00088,mint,garden,monsoon,64.8,68.5,0.127,860.6,20.84,387,71.1,18.1,97,healthy
php_00089,mint,greenhouse,summer,51.7,63.1,0.428,511.5,19.64,249,88.7,20.3,93,healthy
php_00090,tomato,garden,spring,51.2,29.9,0.447,796.2,20.59,673,32.6,33.6,62,moderate_stress
php_00091,lettuce,hydroponic,autumn,25.3,71.2,0.477,1123.5,20.95,499,43.1,14.9,81,healthy
php_00092,lettuce,hydroponic,winter,79,26.1,2.455,1090.7,18.84,906,43.3,18.5,30,high_stress
